Gennemsnitligt antal beskæftigede efter periode, socioøkonomisk status, område, køn, branche (DB07), alder og tid;;;;;;;;;;;;;;;;;
Enhed: Antal;;;;;;;;;;;;;;;;;
;;;;;;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
;;;;;35-39 år;5328;5162;5154;5171;5109;4990;4923;4912;4797;4677;4838;5047
;;;;;40-44 år;5513;5125;5048;5105;5243;5342;5285;5395;5443;5476;5324;5216
;;;;;45-49 år;6015;6181;6223;6011;5719;5384;5211;5234;5268;5483;5587;5503
;;;;;50-54 år;4907;4959;5080;5205;5485;5734;5979;6112;5985;5694;5436;5271
;;;;;55-59 år;4353;4288;4212;4259;4343;4512;4555;4768;4938;5221;5469;5804
;;;;;60-64 år;2880;2822;2815;2877;2899;3008;3012;3096;3222;3447;3620;3787
;;;;;65-66 år;550;576;574;533;472;483;540;572;618;653;737;819
;;;;;67 år og derover;924;1011;1128;1245;1337;1416;1471;1540;1638;1744;1856;1934
;;;;L Ejendomshandel og udlejning;Alder i alt;28853;28661;28897;28726;29066;29378;29497;29570;29909;29994;30436;31121
;;;;;Under 16 år;472;491;474;479;528;493;493;467;554;619;678;676
;;;;;16-19 år;727;738;728;683;684;749;726;684;686;621;603;720
;;;;;20-24 år;926;857;890;964;1027;1086;1158;1179;1186;1127;1186;1349
;;;;;25-29 år;1113;1078;1114;1140;1265;1366;1456;1543;1624;1741;1805;2005
;;;;;30-34 år;1490;1439;1416;1389;1381;1407;1442;1492;1541;1624;1765;1843
;;;;;35-39 år;1980;1890;1905;1862;1830;1784;1722;1717;1684;1695;1737;1833
;;;;;40-44 år;2608;2479;2364;2289;2334;2360;2265;2208;2194;2173;2140;2168
;;;;;45-49 år;3223;3260;3288;3145;3017;2929;2787;2727;2757;2742;2747;2707
;;;;;50-54 år;3289;3332;3420;3461;3526;3609;3689;3637;3556;3423;3352;3249
;;;;;55-59 år;3543;3484;3479;3465;3455;3476;3554;3592;3711;3743;3894;4081
;;;;;60-64 år;3318;3144;3070;3029;3060;3117;3145;3217;3302;3373;3436;3505
;;;;;65-66 år;1302;1320;1263;1159;1071;992;983;1009;996;1036;1086;1045
;;;;;67 år og derover;4860;5148;5486;5660;5889;6009;6078;6096;6119;6077;6006;5939
;;;Kvinder;A Landbrug, skovbrug og fiskeri;Alder i alt;14041;14140;14270;14520;14710;14404;14873;15172;15126;15321;15646;15933
;;;;;Under 16 år;478;443;418;418;426;408;397;378;378;418;444;455
;;;;;16-19 år;1056;1030;994;951;932;938;942;978;979;1007;995;1023
;;;;;20-24 år;1449;1453;1475;1515;1527;1423;1477;1557;1568;1569;1611;1612
;;;;;25-29 år;1299;1396;1483;1594;1675;1619;1720;1762;1734;1717;1734;1832
;;;;;30-34 år;1030;1062;1085;1147;1196;1175;1295;1343;1346;1445;1515;1519
;;;;;35-39 år;1091;1069;1049;1062;1035;1028;1036;1071;1042;1094;1144;1186
;;;;;40-44 år;1201;1185;1201;1191;1173;1118;1119;1082;1059;1064;1081;1106
;;;;;45-49 år;1419;1415;1393;1332;1307;1226;1239;1230;1223;1164;1170;1153
;;;;;50-54 år;1210;1252;1284;1317;1377;1382;1392;1341;1277;1231;1247;1221
;;;;;55-59 år;1088;1054;1065;1093;1136;1173;1232;1281;1280;1327;1358;1381
;;;;;60-64 år;1003;964;929;950;955;928;937;981;1048;1074;1099;1153
;;;;;65-66 år;327;343;360;345;301;299;332;320;340;341;326;350
;;;;;67 år og derover;1389;1473;1534;1604;1671;1688;1755;1848;1851;1867;1923;1943
;;;;CF Medicinalindustri;Alder i alt;9983;10410;10836;11516;12322;12987;13078;13333;13150;13413;14156;15452
;;;;;Under 16 år;2;2;2;1;2;2;2;4;4;4;3;1
;;;;;16-19 år;27;17;23;25;20;16;14;16;19;22;24;29
;;;;;20-24 år;231;229;241;256;298;350;352;370;376;380;445;542
;;;;;25-29 år;593;644;724;882;1020;1111;1079;1117;1055;1118;1224;1580
;;;;;30-34 år;1104;1110;1145;1230;1310;1490;1602;1689;1716;1755;1878;2036
;;;;;35-39 år;1815;1763;1712;1741;1757;1738;1727;1737;1662;1665;1840;2128
;;;;;40-44 år;2054;2066;2068;2096;2210;2266;2111;1999;1928;1902;1850;1921
;;;;;45-49 år;1830;2030;2163;2257;2333;2298;2227;2185;2075;2062;2124;2088
;;;;;50-54 år;1121;1233;1367;1531;1741;1986;2097;2166;2128;2085;2072;2108
;;;;;55-59 år;715;802;867;957;1040;1110;1187;1288;1361;1520;1705;1894
;;;;;60-64 år;366;381;412;438;469;511;582;661;721;765;822;924
;;;;;65-66 år;52;54;50;56;58;49;50;58;65;75;111;135
;;;;;67 år og derover;73;78;62;45;63;60;49;43;40;60;59;68
;;;;H Transport;Alder i alt;31934;30794;29931;29971;29069;29189;29339;29577;30332;29040;28334;29804
;;;;;Under 16 år;3192;3265;3095;3116;2553;2500;2525;2681;2926;2755;2758;2659
;;;;;16-19 år;1119;990;944;1013;897;854;861;926;935;891;909;917
;;;;;20-24 år;1892;1728;1717;1838;1908;2024;2037;2073;2151;1964;2034;2372
;;;;;25-29 år;2455;2272;2167;2182;2160;2149;2190;2287;2478;2362;2368;2763
;;;;;30-34 år;2898;2679;2520;2449;2413;2408;2414;2437;2541;2440;2399;2721
;;;;;35-39 år;3481;3255;3077;2944;2806;2761;2725;2635;2535;2429;2383;2589
;;;;;40-44 år;4013;3707;3523;3439;3293;3197;3103;2983;2982;2777;2629;2680
;;;;;45-49 år;4485;4446;4303;4145;3919;3721;3551;3407;3353;3174;2988;3033
;;;;;50-54 år;3629;3682;3787;3877;3945;4074;4114;4032;3909;3649;3366;3348
;;;;;55-59 år;2731;2736;2780;2918;3024;3170;3303;3419;3569;3577;3500;3520
;;;;;60-64 år;1466;1449;1395;1374;1457;1596;1741;1891;2122;2180;2142;2247
;;;;;65-66 år;220;221;248;245;237;233;238;251;252;291;330;393
;;;;;67 år og derover;352;363;375;433;455;502;538;556;578;551;528;562
;;;;K Finansiering og forsikring;Alder i alt;40992;39570;38646;37847;37120;36657;36717;37196;37506;37787;37812;38505
;;;;;Under 16 år;182;170;149;142;134;119;124;114;94;76;71;72
;;;;;16-19 år;420;383;386;372;372;332;337;349;305;239;246;259
;;;;;20-24 år;1971;1711;1594;1540;1596;1720;1858;2012;2144;2164;2096;2179
;;;;;25-29 år;3539;3357;3232;3094;2905;2766;2779;2886;3116;3318;3436;3623
;;;;;30-34 år;4689;4435;4238;3968;3779;3739;3810;3879;3861;3857;3845;4050
;;;;;35-39 år;4539;4511;4681;4741;4716;4557;4439;4367;4260;4196;4208;4316
;;;;;40-44 år;5409;4685;4309;4218;4251;4352;4421;4564;4696;4684;4604;4508
;;;;;45-49 år;6423;6599;6570;6228;5680;5057;4510;4225;4141;4282;4346;4437
;;;;;50-54 år;5437;5449;5490;5556;5639;5805;6046;6092;5834;5431;4888;4408
;;;;;55-59 år;5040;4844;4673;4632;4648;4714;4773;4875;4986;5148;5376;5650
;;;;;60-64 år;2741;2750;2621;2608;2605;2654;2719;2876;3047;3267;3392;3540
;;;;;65-66 år;267;307;302;299;299;297;292;284;315;370;471;521
;;;;;67 år og derover;336;369;401;448;497;544;610;673;707;755;833;941
;;;;L Ejendomshandel og udlejning;Alder i alt;15465;15554;15767;15960;16323;16883;17305;17743;18361;18501;19067;20143
;;;;;Under 16 år;467;439;479;470;488;492;478;520;592;560;573;643
